region,year,smi,Winterweizen_yield,Winterweizen_sqr,Winterweizen_bodenzahl,Winterweizen_weight,Roggen und Wintermenggetreide_yield,Roggen und Wintermenggetreide_sqr,Roggen und Wintermenggetreide_bodenzahl,Roggen und Wintermenggetreide_weight,Wintergerste_yield,Wintergerste_sqr,Wintergerste_bodenzahl,Wintergerste_weight,Winterraps_yield,Winterraps_sqr,Winterraps_bodenzahl,Winterraps_weight,Kartoffeln_yield,Kartoffeln_sqr,Kartoffeln_bodenzahl,Kartoffeln_weight,Zuckerrüben_yield,Zuckerrüben_sqr,Zuckerrüben_bodenzahl,Zuckerrüben_weight,Silomais/Grünmais (einschl. Lieschkolbenschrot)_yield,Silomais/Grünmais (einschl. Lieschkolbenschrot)_sqr,Silomais/Grünmais (einschl. Lieschkolbenschrot)_bodenzahl,Silomais/Grünmais (einschl. Lieschkolbenschrot)_weight,Hafer_yield,Hafer_sqr,Hafer_bodenzahl,Hafer_weight,OCT_25,OCT_gesamt,NOV_25,NOV_gesamt,DEZ_25,DEZ_gesamt,JAN_25,JAN_gesamt,FEB_25,FEB_gesamt,MAR_25,MAR_gesamt,APR_25,APR_gesamt,MAI_25,MAI_gesamt,JUN_25,JUN_gesamt,JUL_25,JUL_gesamt,AUG_25,AUG_gesamt,SEP_25,SEP_gesamt,Mais_yield,Mais_sqr,Mais_bodenzahl,Mais_weight
11,2013,0.376503436515729,76.7,71.87297792347111,60.809683826736126,0.0023384865579738146,NA,71.87297792347111,60.809683826736126,0.002743308100444499,NA,71.87297792347111,60.809683826736126,0.002201468620690024,NA,72.28865220397431,65.4437850008442,0.0022715380810614683,NA,71.3029772307081,57.16815336767762,0.0010749271943046904,550,71.3029772307081,57.16815336767762,0.004593740553253152,NA,70.37715203296824,58.22664998628837,0.00009258988082599322,NA,71.87297792347111,60.809683826736126,0.004862390105591954,0.800151115655899,0.34085851311683657,0.7864355236291886,0.3674280732870101,0.5287667959928513,0.34060121327638626,0.3492904663085938,0.2686468571424484,0.4113335236907007,0.3312103956937791,0.5725077331066132,0.4323866873979568,0.29122511148452757,0.2598561942577363,0.07431396208703518,0.10131435245275495,0.5732860416173935,0.24345475733280172,0.5713638424873351,0.2733107715845108,0.8053613573312759,0.4242919668555259,0.4526186779141426,0.27685792371630674,NA,70.37715203296824,58.22664998628837,0.00009258988082599322
12,2013,0.341414670149485,75.7,69.27753487035868,57.94582760499435,0.001819724540942518,86.2,69.27753487035868,57.94582760499435,0.0025480033708149634,NA,69.27753487035868,57.94582760499435,0.0021886992466425997,38,72.90411962536736,66.93355909114793,0.003049163328733576,280.5,69.58449853520638,59.379080029167014,0.002468852566775341,NA,69.58449853520638,59.379080029167014,0.00277355970881239,NA,67.16456950438992,58.66179112786467,0.0009053571762699809,NA,69.27753487035868,57.94582760499435,0.007154287219997419,0.6848867668045892,0.35052091545528835,0.8379493024614122,0.4064528014924789,0.5293165296316147,0.3611274626519946,0.3734470125701692,0.2727468079990809,0.33854980932341694,0.3067753149403468,0.43811763326327013,0.3396528313557307,0.2248409257994758,0.2128452302681076,0.06642629868454403,0.08682554256584905,0.6289814048343234,0.21468777292304564,0.5708080927530924,0.24517635835541618,0.7398671706517538,0.3629677924844954,0.4639923754665586,0.22928605228662496,NA,67.16456950438992,58.66179112786467,0.0009053571762699809
15,2013,0.363660005231698,95.8,78.17491647890384,70.92364378197239,0.006193019375106183,NA,78.17491647890384,70.92364378197239,0.0005865169812640075,NA,78.17491647890384,70.92364378197239,0.00409618691510114,52,80.21893018673298,71.0162573066547,0.0034040698561001404,520.9,78.01871817887073,69.18748743740407,0.01545014509583801,700,78.01871817887073,69.18748743740407,0.01874482527482995,630,74.38610758610012,67.8427838680489,0.002072721851659315,77.4,78.17491647890384,70.92364378197239,0.011684558103022833,0.6559002608060837,0.24439800158143044,0.832161819934845,0.30550169646739955,0.60257947742939,0.2824832178652285,0.40776725113391865,0.235472559928894,0.37241795510053655,0.27269199937582017,0.4438129693269731,0.2846841767430307,0.25468685105442995,0.19702992141246795,0.06624299939721824,0.09715544320642952,0.6584808319807053,0.22389291152358065,0.6165976673364639,0.2594124153256415,0.8101563960313797,0.40320442467927925,0.4931752771139145,0.2765373967587948,630,74.38610758610012,67.8427838680489,0.002072721851659315
17,2013,0.346625610565146,102.9,68.66939778413153,37.219197492256384,0.00018779810389802604,NA,68.66939778413153,37.219197492256384,0.0009283002581156952,NA,68.66939778413153,37.219197492256384,0.00017877123666394036,38,0,0,0.00027193030133319107,480.9,64.99999999999999,51.689485934554334,0.00022265428395220057,NA,64.99999999999999,51.689485934554334,0,500,72.65964862169133,34.924069206830396,0.0002750239787961545,NA,68.66939778413153,37.219197492256384,0.0007506992344789158,0.6173199653625489,0.4424220770597459,0.8247873663902283,0.4904578343033791,0.5117363423109054,0.4389952912926674,0.37777257114648816,0.331502316892147,0.3147954717278481,0.3306877538561822,0.41390892267227164,0.380042554438114,0.2286546729505063,0.2345192588865758,0.060048657841980456,0.1044085264205932,0.5769836694002152,0.28078175485134127,0.5685638561844826,0.31542690470814705,0.7311671525239944,0.42653243094682686,0.4609899088740349,0.2720943555235863,500,72.65964862169133,34.924069206830396,0.0002750239787961545
1B,2013,0.363936213155587,93.5,67.76035099045625,54.18437178394739,0.039798084839031155,71.3,67.76035099045625,54.18437178394739,0.0041532394665046365,81.8,67.76035099045625,54.18437178394739,0.025243269059628336,44.8,66.35669166471774,55.445610808449196,0.01670582338058775,597.4,68.70788973596434,54.74687419219554,0.18450629070851754,689.2,68.70788973596434,54.74687419219554,0.07228425980586528,497.7,64.77272700099812,53.2477692068142,0.08362869556162444,55.4,67.76035099045625,54.18437178394739,0.005743466720830462,0.581260085105896,0.5148234849884396,0.8344373277255467,0.5399752585660844,0.5704666177431742,0.5122626168387276,0.4796224633852641,0.48422427120662864,0.4075278682368143,0.4365636521861668,0.28105327699865595,0.33301627210208345,0.22679987336908058,0.2569154564823423,0.10184144760881153,0.14326513842457825,0.7060005891890753,0.38882972371010555,0.7773737481662207,0.5220544096969423,0.8721536681765601,0.6105415338561648,0.5968623345806486,0.4577496250470479,497.7,64.77272700099812,53.2477692068142,0.08362869556162444
1C,2013,0.3803822423021,87.6,67.50935473505716,58.39145572971767,0.009389049029115444,67.8,67.50935473505716,58.39145572971767,0.008380019602808049,75.2,67.50935473505716,58.39145572971767,0.010209649580554597,41.8,68.317846328581,58.15858246456474,0.01915370723976943,450.8,69.84458185871988,62.75055863929032,0.0030987934135576164,764.4,69.84458185871988,62.75055863929032,0.012085843770255943,520,67.11482607605711,53.89675228270643,0.0023043745134073796,64.5,67.50935473505716,58.39145572971767,0.03932456282405641,0.7550499647855757,0.4236855119466781,0.7430471539497375,0.4626290276646615,0.5027639284729957,0.41071978509426116,0.3152783513069154,0.29064492881298065,0.4302252650260926,0.4077228844165802,0.6126403838396073,0.5397076234221458,0.32921714037656774,0.33535992577672014,0.08612436298280954,0.12871328778564933,0.5580018430948257,0.28831999376416195,0.5724297255277634,0.3370403662323951,0.8184589207172396,0.4977718487381936,0.41081515848636635,0.32351683974266043,520,67.11482607605711,53.89675228270643,0.0023043745134073796
1D,2013,0.395224978526433,97.2,84.50661487909456,66.1066389914882,0.031335258291816735,83.7,84.50661487909456,66.1066389914882,0.008501783662638807,NA,84.50661487909456,66.1066389914882,0.017279602565716794,48.8,84.38861922989267,64.51685027772263,0.01671349058833211,379,86.18166059065264,69.93537384042335,0.06580416862952583,746.1,86.18166059065264,69.93537384042335,0.09151197333514614,442.9,81.98350086566892,64.64405413011572,0.007709315162327701,84.3,84.50661487909456,66.1066389914882,0.03334092724393196,0.6985113081477938,0.21957570101533613,0.8240562138103303,0.2857113643771127,0.5843404503095718,0.26169142268952866,0.40955515702565504,0.22853110801605953,0.41194679623558406,0.2699084289017178,0.5246929270880563,0.3041207705225263,0.2982898808660962,0.20296164637520203,0.06907281066690171,0.09055438815128236,0.6440618492308117,0.20481523516632266,0.6120023727416992,0.23936472904114492,0.8313687046368917,0.405187632356371,0.4747809427125113,0.2682195781242281,442.9,81.98350086566892,64.64405413011572,0.007709315162327701
1E,2013,0.338153244306644,91.5,70.46419311969437,55.89115480186568,0.01672832549308821,58,70.46419311969437,55.89115480186568,0.002578745781960353,82,70.46419311969437,55.89115480186568,0.010359600554005356,44.1,67.66309627168599,55.663701753987866,0.0004344751055135572,499.5,71.56589427299168,56.65514717256542,0.12912047368973917,761.2,71.56589427299168,56.65514717256542,0.04225716475374455,409.8,68.78580319638122,52.803267740013695,0.023975542034687276,51.3,70.46419311969437,55.89115480186568,0.013024014141142435,0.6208450907752627,0.3319242397944134,0.8283290579205468,0.38543112930797396,0.5934800675937109,0.3533438401562827,0.41204715058917085,0.3107929385843731,0.3137802580992381,0.30520128919964745,0.3700581661292485,0.3043039199851809,0.1902854577416465,0.19672358319872899,0.08305263607984503,0.10314813220784784,0.6832159757614135,0.23913737138112381,0.5961068272590637,0.25877117542993455,0.7711799456959679,0.37864371140797937,0.5095919370651245,0.27447680277483805,409.8,68.78580319638122,52.803267740013695,0.023975542034687276
1F,2013,0.318899472554525,76.5,66.72564385196978,45.22171086536748,0.021694422072460213,60.1,66.72564385196978,45.22171086536748,0.044265455295109064,67.9,66.72564385196978,45.22171086536748,0.025713738455397966,45.9,67.77141834632056,47.83699193200873,0.013785469141959371,480.9,68.11805277882902,46.06098642857407,0.028688247269343378,742.8,68.11805277882902,46.06098642857407,0.024439889917181667,491.4,64.99078956423028,40.913792135232164,0.04993721582380891,56.3,66.72564385196978,45.22171086536748,0.030511051884707964,0.6110703900456429,0.49539965987205503,0.8161702007055283,0.5313125461339951,0.5326017752289772,0.4919073209166527,0.41032580733299245,0.42682618200778955,0.3001140639185905,0.3655756786465645,0.26802193075418457,0.3246937558054924,0.2314052857458591,0.25252047106623643,0.10166900753974913,0.14006615653634066,0.7134905517101288,0.3313139006495476,0.6986569136381149,0.40071316361427317,0.8366269618272781,0.5204014629125595,0.5797902017831802,0.37660331130027763,491.4,64.99078956423028,40.913792135232164,0.04993721582380891
22,2013,0.588220171630383,91.3,70.98738636952223,61.01342362991762,0.0005907543922421552,NA,70.98738636952223,61.01342362991762,0,76.8,70.98738636952223,61.01342362991762,0.0006907589324089922,42.1,69.55106068618844,64.84749126317338,0.0006953305512160105,NA,78.26304542795867,57.91702086176641,0,712,78.26304542795867,57.91702086176641,0.0009389149457530732,NA,65.04529192417266,60.32878112782478,0.00005084562373750314,NA,70.98738636952223,61.01342362991762,0.00021821056358710717,0.8123227201010051,0.3567127569725639,0.911190378038507,0.40700528966753097,0.633453955775813,0.39000851857034774,0.4421979910448977,0.37751117034962295,0.6792531797760412,0.5018626310323415,0.8904086978811967,0.7394420347715679,0.7833576892551622,0.7147268056869507,0.13604286077775452,0.3558910873375441,0.5609602520340368,0.4739964886715537,0.6577600742641247,0.5606341550224706,0.8913663625717163,0.7229396512633876,0.6499648878448888,0.5864747511713129,NA,65.04529192417266,60.32878112782478,0.00005084562373750314
